id,kode_kabupaten_atau_kota,kode_komoditas,ketersediaan,kebutuhan,harga,tahun,bulan,minggu
328,3204,3010,6388.04,8845.2,11600,2021,7,2
329,3205,3010,5597.94,6436.45,11500,2021,7,2
330,3206,3010,125101,3695,9500,2021,7,2
331,3207,3010,126408,4259,10500,2021,7,2
332,3208,3010,7016,1728,11000,2021,7,2
333,3209,3010,32155,5311,9300,2021,7,2
334,3210,3010,19641,4670,11000,2021,7,2
335,3211,3010,65096,1829,11000,2021,7,2
336,3212,3010,24287,4113,10500,2021,7,2
337,3213,3010,10406,3304,10000,2021,7,2
338,3214,3010,12334,15,10000,2021,7,2
339,3215,3010,11456.76,1243.12,10300,2021,7,2
340,3216,3010,906,1202,10200,2021,7,2
341,3217,3010,3612.38,3363.79,10000,2021,7,2
342,3218,3010,12795,1350,10000,2021,7,2
343,3271,3010,2292.67,2282.37,10250,2021,7,2
344,3272,3010,769,733,9400,2021,7,2
345,3273,3010,5201,4809,12000,2021,7,2
346,3274,3010,4103.67,635.15,11000,2021,7,2
347,3275,3010,2599.19,425.87,12000,2021,7,2
348,3276,3010,1495,1424,10333,2021,7,2
349,3277,3010,133136,2005,10100,2021,7,2
350,3278,3010,1434,1383,11500,2021,7,2
351,3279,3010,3570,415,9500,2021,7,2
352,3201,3011,204,185,24000,2021,7,2
353,3201,3011,548,548,28000,2021,7,2
354,3203,3011,194,73,28000,2021,7,2
355,3204,3011,0,0,27571,2021,7,2
356,3205,3011,0,59.17,23000,2021,7,2
357,3206,3011,90,80,28000,2021,7,2
358,3207,3011,36,32,30500,2021,7,2
359,3208,3011,160,350,26000,2021,7,2
360,3209,3011,9,83,27500,2021,7,2
361,3210,3011,0,35,30200,2021,7,2
362,3211,3011,10,273,28000,2021,7,2
363,3212,3011,3,4,26000,2021,7,2
364,3213,3011,0,0,28000,2021,7,2
365,3214,3011,30,4,28000,2021,7,2
366,3215,3011,25.21,23.14,26200,2021,7,2
367,3216,3011,0,170,27800,2021,7,2
368,3217,3011,0,0.45,30000,2021,7,2
369,3218,3011,0,11,25000,2021,7,2
370,3271,3011,60.55,52.07,26000,2021,7,2
371,3272,3011,8,8,25000,2021,7,2
372,3273,3011,826,749,26000,2021,7,2
373,3274,3011,26.77,8.48,29000,2021,7,2
374,3275,3011,93.1,14.9,26000,2021,7,2
375,3276,3011,25,24,25000,2021,7,2
376,3277,3011,0.24,0.2,27000,2021,7,2
377,3278,3011,28,23.75,25000,2021,7,2
378,3279,3011,15,4,28000,2021,7,2
